"company","serial_number","name","asset","manufacturer","u_manufacturer_part_number","u_parent_asset","location"
"Island Health","1269741-0032","AO000108-CRT","AO000108-CRT","ERGOTRON","C50-3510-0","AO000108","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor"
"Island Health","1269742-0050","AO000109-CRT","AO000109-CRT","ERGOTRON","C50-3510-0","AO000109","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor"
"Island Health","1269741-0051","AO000112-CRT","AO000112-CRT","ERGOTRON","C50-3510-0","AO000112","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor"
"Island Health","1441006-0035","AO000115-CRT","AO000115-CRT","ERGOTRON","C50-3510-0","AO000115","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor"
"Island Health","1808301-0001","AO000116-CRT","AO000116-CRT","ERGOTRON","SV43-2570-0","AO000116","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-Basement 1"
"Island Health","1269741-0053","AO000118-CRT","AO000118-CRT","ERGOTRON","C50-3510-0","AO000118","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor"
"Island Health","1269828-0023","AO000120-CRT","AO000120-CRT","ERGOTRON","SV43-2570-0","AO000120","VIHA-RJH-Royal Jubilee Hospital-Royal Block-1st Floor"
"Island Health","1874548-0067","AO000121-CRT","AO000121-CRT","ERGOTRON","C50-3510-0","AO000121","VIHA-SISC-South Island Surgical Centre-Eagle Creek Village Building 7-5th Floor"
"Island Health","1269741-0037","AO000124-CRT","AO000124-CRT","ERGOTRON","C50-3510-0","AO000124","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor"
"Island Health","1269741-0015","AO000126-CRT","AO000126-CRT","ERGOTRON","C50-3510-0","AO000126","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor"
"Island Health","1269741-0042","AO000127-CRT","AO000127-CRT","ERGOTRON","C50-3510-0","AO000127","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor"
"Island Health","1269828-0032","AO000128-CRT","AO000128-CRT","ERGOTRON","C50-3510-0","AO000128","VIHA-RJH-Royal Jubilee Hospital-Royal Block-3rd Floor"
"Island Health","1269828-0035","AO000129-CRT","AO000129-CRT","ERGOTRON","C50-3510-0","AO000129","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-5th Floor"
"Island Health","1269741-0054","AO000130-CRT","AO000130-CRT","ERGOTRON","C50-3510-0","AO000130","VIHA-RJH-Royal Jubilee Hospital-Royal Block-1st Floor"
"Island Health","1874313-0092","AO000132-CRT","AO000132-CRT","ERGOTRON","C50-3510-0","AO000132","VIHA-SISC-South Island Surgical Centre-Eagle Creek Village Building 7-5th Floor"
"Island Health","1269742-0003","AO000133-CRT","AO000133-CRT","ERGOTRON","C50-3510-0","AO000133","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor"
"Island Health","1269742-0043","AO000134-CRT","AO000134-CRT","ERGOTRON","C50-3510-0","AO000134","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor"
"Island Health","1826513-0009","AO000135-CRT","AO000135-CRT","ERGOTRON","C50-3500-0","AO000135","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor"
"Island Health","1269742-0008","AO000137-CRT","AO000137-CRT","ERGOTRON","C50-3510-0","AO000137","VIHA-RJH-Royal Jubilee Hospital-Richmond Pavilion-2nd Floor"
"Island Health","1269827-0027","AO000138-CRT","AO000138-CRT","ERGOTRON","C50-3510-0","AO000138","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor"
"Island Health","1269741-0055","AO000139-CRT","AO000139-CRT","ERGOTRON","C50-3510-0","AO000139","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor"
"Island Health","1848798-0039","AO000140-CRT","AO000140-CRT","ERGOTRON","C50-3510-0","AO000140","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor"
"Island Health","1800999-0003","AO000141-CRT","AO000141-CRT","ERGOTRON","SV43-2570-0","AO000141","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor"
"Island Health","1269742-0005","AO000145-CRT","AO000145-CRT","ERGOTRON","","AO000145","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor"
"Island Health","1269742-0021","AO000147-CRT","AO000147-CRT","ERGOTRON","C50-3510-0","AO000147","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor"
"Island Health","1297846-0010","AO000148-CRT","AO000148-CRT","ERGOTRON","C50-3510-0","AO000148","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor"
"Island Health","1854604-0002","AO000150-CRT","AO000150-CRT","ERGOTRON","SV43-2570-0","AO000150","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor"
"Island Health","1296600-0032","AO000153-CRT","AO000153-CRT","ERGOTRON","C50-3510-0","AO000153","VIHA-DPRC-Dufferin Place (NRGH)-Main Building-1st Floor"
"Island Health","1800999-0033","AO000158-CRT","AO000158-CRT","ERGOTRON","SV43-2570-0","AO000158","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor"
"Island Health","1800998-0016","AO000159-CRT","AO000159-CRT","ERGOTRON","SV43-2570-0","AO000159","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor"
"Island Health","1801000-0013","AO000160-CRT","AO000160-CRT","ERGOTRON","SV43-2570-0","AO000160","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor"
"Island Health","1269828-0034","AO000161-CRT","AO000161-CRT","ERGOTRON","C50-3510-0","AO000161","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor"
"Island Health","1801000-0007","AO000162-CRT","AO000162-CRT","ERGOTRON","SV43-2570-0","AO000162","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor"
"Island Health","1809900-0001","AO000163-CRT","AO000163-CRT","ERGOTRON","C50-3510-0","AO000163","VIHA-VGH-Victoria General Hospital-Main Building-7th Floor"
"Island Health","1297846-0028","AO000164-CRT","AO000164-CRT","ERGOTRON","SV43-2570-0","AO000164","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor"
"Island Health","1297846-0029","AO000165-CRT","AO000165-CRT","ERGOTRON","SV43-2570-0","AO000165","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor"
"Island Health","1864298-0001","AO000166-CRT","AO000166-CRT","ERGOTRON","C50-3510-0","AO000166","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor"
"Island Health","1800999-0039","AO000167-CRT","AO000167-CRT","ERGOTRON","SV43-2570-0","AO000167","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor"
"Island Health","1800998-0021","AO000168-CRT","AO000168-CRT","ERGOTRON","SV43-2570-0","AO000168","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor"
"Island Health","1800999-0012","AO000169-CRT","AO000169-CRT","ERGOTRON","SV43-2570-0","AO000169","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor"
"Island Health","1801000-0049","AO000170-CRT","AO000170-CRT","ERGOTRON","SV43-2570-0","AO000170","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor"
"Island Health","1801000-0031","AO000171-CRT","AO000171-CRT","ERGOTRON","SV43-2570-0","AO000171","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor"
"Island Health","1800998-0011","AO000172-CRT","AO000172-CRT","ERGOTRON","SV43-2570-0","AO000172","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor"
"Island Health","1297846-0031","AO000174-CRT","AO000174-CRT","ERGOTRON","SV43-2570-0","AO000174","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor"
"Island Health","1809900-0002","AO000175-CRT","AO000175-CRT","ERGOTRON","C50-3510-0","AO000175","VIHA-RJH-Royal Jubilee Hospital-Royal Block-2nd Floor"
"Island Health","1801000-0061","AO000176-CRT","AO000176-CRT","ERGOTRON","SV43-2570-0","AO000176","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor"
"Island Health","1800998-0010","AO000177-CRT","AO000177-CRT","ERGOTRON","SV43-2570-0","AO000177","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor"
"Island Health","1801000-0053","AO000178-CRT","AO000178-CRT","ERGOTRON","SV43-2570-0","AO000178","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor"
"Island Health","1801000-0011","AO000179-CRT","AO000179-CRT","ERGOTRON","SV43-2570-0","AO000179","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor"
"Island Health","1801000-0019","AO000180-CRT","AO000180-CRT","ERGOTRON","SV43-2570-0","AO000180","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor"
"Island Health","1801000-0016","AO000181-CRT","AO000181-CRT","ERGOTRON","SV43-2570-0","AO000181","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor"
"Island Health","1801000-0057","AO000182-CRT","AO000182-CRT","ERGOTRON","SV43-2570-0","AO000182","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor"
"Island Health","1801000-0025","AO000183-CRT","AO000183-CRT","ERGOTRON","C50-3510-0","AO000183","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor"
"Island Health","1269742-0015","AO000184-CRT","AO000184-CRT","ERGOTRON","SV43-2570-0","AO000184","VIHA-RJH-Royal Jubilee Hospital-Coronation Annex-2nd Floor"
"Island Health","1297846-0032","AO000185-CRT","AO000185-CRT","ERGOTRON","SV43-2570-0","AO000185","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor"
"Island Health","1801000-0065","AO000186-CRT","AO000186-CRT","ERGOTRON","SV43-2570-0","AO000186","VIHA-RJH-Royal Jubilee Hospital-Eric Martin Pavilion-5th Floor"
"Island Health","1841539-0024","AO000187-CRT","AO000187-CRT","ERGOTRON","C50-3500-0","AO000187","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor"
"Island Health","1801000-0058","AO000188-CRT","AO000188-CRT","ERGOTRON","SV43-2570-0","AO000188","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor"
"Island Health","1800999-0023","AO000189-CRT","AO000189-CRT","ERGOTRON","SV43-2570-0","AO000189LEG","VIHA-RJH-Royal Jubilee Hospital"
"Island Health","1297846-0033","AO000190-CRT","AO000190-CRT","ERGOTRON","SV43-2570-0","AO000190","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-4th Floor"
"Island Health","1800999-0011","AO000191-CRT","AO000191-CRT","ERGOTRON","SV43-2570-0","AO000191","VIHA-VGH-Victoria General Hospital-Main Building-4th Floor"
